"ID","LEVEL","SCORE","KILLDEATH","WINRATIO","PLAYTIME","MOST1","tear","attack","defence","charge","support","group","heaven"
"S2Epic",454,4136,2.95,38,3,"Ana","grandmaster",0,0,0,1,"support","yes"
"½Ã·û",190,4136,1.48,53,3,"Genji","grandmaster",1,0,0,0,"attack","yes"
"FORGIVE",146,4136,2.83,63,3,"McCree","grandmaster",1,0,0,0,"attack","yes"
"°ÕÁö",205,4136,2.99,67,4,"Mercy","grandmaster",0,0,0,1,"support","yes"
"checkpoint",511,4136,2.76,54,5,"McCree","grandmaster",1,0,0,0,"attack","yes"
"½ÄÀÌ½Ã±â",595,4136,2.45,56,6,"McCree","grandmaster",1,0,0,0,"attack","yes"
"È£°Ç»ç»ıÆÒ",513,4136,2.63,55,7,"Ana","grandmaster",0,0,0,1,"support","yes"
"¹ÌÀÎ",126,4136,2.25,51,10,"McCree","grandmaster",1,0,0,0,"attack","yes"
"T3T",304,4136,2.42,58,13,"Hanzo","grandmaster",0,1,0,0,"defence","yes"
"²¥¸£¸£¸£¸£¸£¸£¸¤",687,4136,1.24,53,14,"McCree","grandmaster",1,0,0,0,"attack","yes"
"SimT",388,4136,2.38,54,15,"Ana","grandmaster",0,0,0,1,"support","yes"
"¸¶¼ºÀÇÅ×Å©´Ğ",956,4136,2.64,54,30,"Mercy","grandmaster",0,0,0,1,"support","yes"
"°ÅÃ÷",1141,4136,3,54,32,"Winston","grandmaster",0,0,1,0,"charge","yes"
"PoMa",102,4136,2.99,52,36,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"Àğ½ººñ",500,4136,2.47,50,79,"McCree","grandmaster",1,0,0,0,"attack","yes"
"À½¸Ş",291,4135,2.56,50,1,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"³É°³",133,4135,2.86,50,1,"Ana","grandmaster",0,0,0,1,"support","yes"
"°ÇµéÁö¸¶",566,4135,1.16,45,1,"Ana","grandmaster",0,0,0,1,"support","yes"
"ºñÁÖ·ù¸¸ÇÔ",419,4135,3.29,68,2,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"¹«´ıÁ»ÆÄ¶ó",308,4135,2.2,63,4,"Genji","grandmaster",1,0,0,0,"attack","yes"
"È­°¡³³´Ï´Ù",850,4135,2.57,50,5,"Lucio","grandmaster",0,0,0,1,"support","yes"
"¸ÆÅ©¸®¿øÃ¨",138,4135,3.25,68,8,"Winston","grandmaster",0,0,1,0,"charge","yes"
"¸ßÅä½Å",723,4135,3.74,55,10,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"DECALCOMANIE",71,4135,3.15,58,15,"Genji","grandmaster",1,0,0,0,"attack","yes"
"ÃµÀç³ëÃ¢",677,4135,0.97,54,15,"Mercy","grandmaster",0,0,0,1,"support","yes"
"Gollonze",343,4135,2.22,55,17,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"YOUK",214,4135,3.08,60,38,"McCree","grandmaster",1,0,0,0,"attack","yes"
"Â÷¼¼´ë",318,4135,2.14,53,52,"Genji","grandmaster",1,0,0,0,"attack","yes"
"Pinkbean",345,4134,2.18,50,1,"Genji","grandmaster",1,0,0,0,"attack","yes"
"½ºÄ¡¸é°£´Ù",363,4134,2.37,47,3,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"ÀÌ±â´øÁö´øÇÑÁ¶",294,4134,2.46,58,3,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"Ä¿Áî",634,4134,3.17,58,5,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"¶¥ÄáÀë",450,4134,3.2,63,6,"Ana","grandmaster",0,0,0,1,"support","yes"
"Say0Nara",180,4134,3.39,69,6,"Widowmaker","grandmaster",0,1,0,0,"defence","yes"
"¿ìÁ¦¿ø1",521,4134,2.95,49,7,"Pharah","grandmaster",1,0,0,0,"attack","yes"
